fruitID,year,month,day,plantID,prevplantID,og.plantposition,round,filled.seeds,shriv.seeds,total.seeds,virgin.ovules,abrt.ovules,total.ovules,notes,counter,observer,CHECK.row.sum,CHECK.total.ovules,Ratio CHECK Total/Total,Ratio  row sum/total
800459,2017,9,13,br24,na,br24,1,6,0,6,0,0,6,2//herbivory damage likely unfilled ovules,ar,ar,6,6,1,1
800460,2017,9,13,br24,na,br24,1,12,0,12,0,0,12,1,ar,ar,12,12,1,1
800461,2017,9,19,ne12,ne30,ne30,3,10,0,10,0,0,10,1,ar,ar,10,10,1,1
800462,2017,9,19,ne12,ne30,ne30,3,10,0,10,0,0,10,2,ar,ar,10,10,1,1
800463,2017,9,19,ne12,ne30,ne30,3,11,1,12,0,0,12,3,ar,ar,12,12,1,1
800464,2017,9,19,ne15,ne24,ne24,3,11,0,11,0,0,11,1,ar,ar,11,11,1,1
800465,2017,9,19,ne15,ne24,ne24,3,10,0,10,0,0,10,2,ar,ar,10,10,1,1
800466,2017,9,19,ne15,ne24,ne24,3,10,0,10,1,0,11,3,ar,ar,11,11,1,1
800467,2017,9,19,ne15,ne24,ne24,3,10,0,10,0,0,10,4,ar,ar,10,10,1,1
800468,2017,9,19,ne15,ne24,ne24,3,9,0,9,1,0,10,5,ar,ar,10,10,1,1
800469,2017,9,19,ne15,ne24,ne24,3,8,0,8,2,0,10,6,ar,ar,10,10,1,1
800470,2017,9,19,ne15,ne24,ne24,3,9,1,10,0,0,10,7//shriv smaller than others,ar,ar,10,10,1,1
800471,2017,9,19,ne15,ne24,ne24,3,10,0,10,0,0,10,8,ar,ar,10,10,1,1
800472,2017,9,19,ne15,ne24,ne24,3,10,0,10,0,0,10,9,ar,ar,10,10,1,1
800473,2017,9,19,ne15,ne24,ne24,3,8,0,8,1,1,10,10,ar,ar,10,10,1,1
800474,2017,9,19,ne3,na,ne3,3,9,1,10,0,1,11,1,ar,ar,11,11,1,1
800475,2017,9,19,ne11,na,ne11,3,10,0,10,0,1,11,1//herbivory damage likely led to abortion,ar,ar,11,11,1,1
800476,2017,9,19,ne11,na,ne11,3,9,1,10,0,0,10,2,ar,ar,10,10,1,1
800477,2017,9,19,ne11,na,ne11,3,10,0,10,1,0,11,3,ar,ar,11,11,1,1
800478,2017,9,19,ne11,na,ne11,3,10,0,10,1,0,11,4,ar,ar,11,11,1,1
800479,2017,9,19,ne11,na,ne11,3,9,0,9,0,0,9,5,ar,ar,9,9,1,1
800480,2017,9,19,ne11,na,ne11,3,6,0,6,5,0,11,6,ar,ar,11,11,1,1
800481,2017,9,19,ne11,na,ne11,3,5,0,5,4,0,9,7,ar,ar,9,9,1,1
800482,2017,9,19,ne6,na,ne6,3,11,0,11,0,0,11,2,ar,ar,11,11,1,1
800483,2017,9,19,ne6,na,ne6,3,12,0,12,0,0,12,1,ar,ar,12,12,1,1
800484,2017,9,19,ne6,na,ne6,4,9,0,9,0,0,9,3?,ar,ar,9,9,1,1
800485,2017,9,19,ne10,na,ne10,3,8,0,8,1,0,9,1,ar,ar,9,9,1,1
800486,2017,9,19,br7,na,br7,3,10,0,10,2,0,12,2,mc,ar,12,12,1,1
800487,2017,9,19,br7,na,br7,3,8,2,10,2,0,12,3//small;same color,mc,ar,12,12,1,1
800488,2017,9,19,br6,br20,br20,3,10,0,10,0,0,10,1,mc,ar,10,10,1,1
800489,2017,9,19,br3,na,br3,2,8,0,8,5,0,13,1,mc,ar,13,13,1,1
800490,2017,9,19,br3,na,br3,3,6,1,7,2,0,9,1//smaller lighter color,mc,ar,9,9,1,1
800491,2017,9,19,br3,na,br3,3,11,0,11,0,0,11,2,mc,ar,11,11,1,1
800492,2017,9,19,br5,na,br5,3,8,0,8,1,0,9,1,mc,ar,9,9,1,1
800493,2017,9,19,br5,na,br5,3,8,1,9,0,0,9,2//small light color,mc,ar,9,9,1,1
800494,2017,9,19,br5,na,br5,3,9,0,9,0,0,9,3,mc,ar,9,9,1,1
800495,2017,9,19,br13,br19,br19,3,9,0,9,0,0,9,1,mc,ar,9,9,1,1
800496,2017,9,19,br13,br19,br19,4,6,0,6,1,0,7,1//seeds broken; potential miscount??,mc,ar,7,7,1,1
800497,2017,9,19,br1,na,br1,3,11,0,11,0,0,11,1,mc,ar,11,11,1,1
800498,2017,9,19,br1,na,br1,3,5,1,6,4,0,10,2//shriveled dark small,mc,ar,10,10,1,1
800499,2017,9,19,br10,na,br10,3,3,0,3,1,1,5,1//half of seed pod small dark shriveled; outlier,mc,ar,5,5,1,1
800500,2017,9,19,br10,na,br10,3,8,0,8,1,1,10,2,mc,ar,10,10,1,1
800501,2017,9,19,br10,na,br10,3,6,0,6,2,0,8,3,mc,ar,8,8,1,1
800502,2017,9,19,br10,na,br10,3,9,1,10,2,0,12,4//small light seeds,mc,ar,12,12,1,1
800503,2017,9,19,br10,na,br10,3,6,0,6,1,2,9,5//thin dark seeds,mc,ar,9,9,1,1
