pollID,ID,site,observer,date,position,round,plantID,prevplantID,og.plantposition,plot,trmnt,prevtrmnt,flowers,wither_flow,frt_removed,notes
200218,76,howe,kmf,8/12/2017,16,1,ho16,NA,ho16,low,op,NA,2,17,18,
200219,76,howe,kmf,8/24/2017,16,2,ho16,NA,ho16,low,op,NA,0,12,41,2fwp
200220,77,howe,kmf,8/12/2017,17,1,ho17,NA,ho17,low,hp,NA,3,2,2,
200221,77,howe,kmf,8/24/2017,17,2,ho17,NA,ho17,low,hp,NA,0,6,12,3fwp
200222,78,howe,kmf,8/12/2017,18,1,ho18,NA,ho18,low,hp,NA,2,7,1,
200223,78,howe,kmf,8/24/2017,18,2,ho18,NA,ho18,low,hp,NA,0,1,12,1fwp//1 lfwp
200224,78,howe,adr,8/30/2017,12,3,ho12,ho18,ho18,hi,hp,hp,1,1,3,ho18 rd1/2
200225,78,howe,adr,9/7/2017,12,4,ho12,ho18,ho18,hi,hp,hp,4,2,19,
200226,79,howe,kmf,8/12/2017,19,1,ho19,NA,ho19,low,hp,NA,2,3,4,
200227,79,howe,kmf,8/24/2017,19,2,ho19,NA,ho19,low,hp,NA,0,5,15,2fwp
200228,80,howe,kmf,8/12/2017,20,1,ho20,NA,ho20,low,hp,NA,2,27,0,
200229,80,howe,kmf,8/24/2017,20,2,ho20,NA,ho20,low,hp,NA,0,8,23,1fwp
200230,81,howe,kmf,8/12/2017,21,1,ho21,NA,ho21,low,op,NA,3,1,3,
200231,81,howe,kmf,8/24/2017,21,2,ho21,NA,ho21,low,op,NA,2,1,6,3fwp
200232,82,howe,kmf,8/12/2017,22,1,ho22,NA,ho22,low,nt,NA,2,2,4,
200233,82,howe,kmf,8/24/2017,22,2,ho22,NA,ho22,low,nt,NA,1,3,5,
200234,83,howe,kmf,8/12/2017,23,1,ho23,NA,ho23,low,nt,NA,8,4,14,
200235,83,howe,kmf,8/24/2017,23,2,ho23,NA,ho23,low,nt,NA,2,0,15,
200236,83,howe,adr,8/30/2017,7,3,ho7,ho23,ho23,hi,hp,nt,3,0,6,ho23 rd1/2
200237,83,howe,adr,9/7/2017,7,4,ho7,ho23,ho23,hi,hp,nt,1,1,11,
200238,84,howe,kmf,8/12/2017,24,1,ho24,NA,ho24,low,nt,NA,0,0,0,
200239,84,howe,kmf,8/24/2017,24,2,ho24,NA,ho24,low,nt,NA,1,2,0,
200240,85,howe,kmf,8/12/2017,25,1,ho25,NA,ho25,low,hp,NA,4,8,3,
200241,85,howe,kmf,8/24/2017,25,2,ho25,NA,ho25,low,hp,NA,0,1,9,3fwp
200242,86,howe,kmf,8/12/2017,26,1,ho26,NA,ho26,low,nt,NA,2,4,0,
200243,86,howe,kmf,8/24/2017,26,2,ho26,NA,ho26,low,nt,NA,2,8,9,
200244,87,howe,kmf,8/12/2017,27,1,ho27,NA,ho27,low,nt,NA,2,5,1,
200245,87,howe,kmf,8/24/2017,27,2,ho27,NA,ho27,low,nt,NA,0,4,7,
200246,87,howe,adr,8/30/2017,8,3,ho8,ho27,ho27,hi,op,NA,0,0,7,
200247,87,howe,adr,9/7/2017,8,4,ho8,NA,ho8,hi,op,NA,0,2,21,paint possibly washed off
200248,88,howe,kmf,8/12/2017,28,1,ho28,NA,ho28,low,op,NA,6,7,5,
200249,88,howe,kmf,8/24/2017,28,2,ho28,NA,ho28,low,op,NA,0,7,15,6 lfwp
